submission_date;state;tot_cases;conf_cases;prob_cases;new_case;pnew_case;tot_death;conf_death;prob_death;new_death;pnew_death;created_at;consent_cases;consent_deaths
03/11/2021;KS;297,229;241,035;56,194;0;0;4,851;;;0;0;03/12/2021 03:20:13 PM;Agree;N/A
06/11/2021;TX;2,965,966;;;1,463;355;51,158;;;17;0;06/13/2021 12:00:00 AM;Not agree;Not agree
02/04/2020;AR;0;;;0;;0;;;0;;03/26/2020 04:22:39 PM;Not agree;Not agree
10/22/2020;MP;88;88;0;0;0;2;2;0;0;0;10/23/2020 01:44:31 PM;Agree;Agree
04/07/2020;CO;5,429;;;257;;179;;;29;;04/07/2020 04:22:39 PM;Agree;Agree
08/15/2020;FL;563,628;;;6,291;120;9,345;;;204;3;08/16/2020 02:57:14 PM;Not agree;Not agree
05/22/2021;MA;704,796;659,246;45,550;451;46;17,818;17,458;360;5;0;05/23/2021 01:37:59 PM;Agree;Agree
01/06/2021;TX;1,867,163;;;24,010;4,196;33,124;;;345;0;01/08/2021 12:00:00 AM;Not agree;Not agree
05/27/2021;NYC;948,436;782,257;166,179;394;95;33,203;28,130;5,073;6;0;05/25/2021 12:00:00 AM;Agree;Agree
05/05/2021;PR;133,846;117,974;15,872;141;48;2,348;2,005;343;11;2;05/06/2021 02:14:04 PM;Agree;Agree
07/20/2020;GA;147,804;143,697;4,107;2,766;317;3,176;3,176;0;3;0;07/21/2020 10:50:17 AM;Agree;Agree
04/15/2021;MP;162;162;0;1;0;2;2;0;0;0;04/16/2021 02:12:25 PM;Agree;Agree
05/21/2020;GA;38,356;38,334;22;687;0;1,758;1,758;0;69;0;05/22/2020 11:31:45 AM;Agree;Agree
08/29/2020;PR;32,848;15,229;17,619;298;55;434;287;147;6;2;08/30/2020 02:49:52 PM;Agree;Agree
04/16/2020;AK;300;;;7;;9;;;0;;04/16/2020 12:00:00 AM;N/A;N/A
06/26/2020;NYC;216,745;211,890;4,855;395;14;22,892;18,330;4,562;17;0;06/24/2020 12:00:00 AM;Agree;Agree
05/25/2020;CO;24,226;21,941;2,285;89;5;1,331;1,056;275;1;0;05/26/2020 02:23:02 PM;Agree;Agree
05/03/2021;GA;1,103,659;882,074;221,585;870;294;20,227;17,593;2,634;15;0;05/04/2021 02:00:10 PM;Agree;Agree
01/24/2020;AS;0;;;0;;0;;;0;;03/26/2020 04:22:39 PM;;
09/23/2020;TX;719,599;;;3,392;0;16,502;;;63;0;09/25/2020 12:00:00 AM;Not agree;Not agree
03/18/2020;AR;37;;;13;;0;;;0;;03/26/2020 04:22:39 PM;Not agree;Not agree
03/18/2021;AS;4;;;0;0;0;;;0;0;03/19/2021 02:25:43 PM;;
05/22/2020;OK;6,612;;;97;0;331;331;0;3;0;05/23/2020 12:00:00 AM;Not agree;Agree
01/23/2020;PR;0;;;0;;0;;;0;;03/26/2020 04:22:39 PM;Agree;Agree
02/03/2021;MA;531,117;504,564;26,553;2,455;269;15,014;14,712;302;59;0;02/05/2021 12:00:00 AM;Agree;Agree
06/28/2021;NYC;955,439;787,657;167,782;160;26;33,416;28,322;5,094;2;1;06/29/2021 02:25:53 PM;Agree;Agree
03/09/2021;PW;0;;;0;0;0;;;0;0;03/10/2021 02:58:31 PM;;
02/05/2021;AS;3;;;0;0;0;;;0;0;02/06/2021 04:05:17 PM;;
04/05/2021;CO;468,988;439,872;29,116;867;53;6,126;5,393;733;0;0;04/06/2021 01:43:58 PM;Agree;Agree
11/12/2020;HI;16,171;;;94;0;221;;;0;0;11/13/2020 02:54:34 PM;Not agree;Not agree
05/02/2021;OK;449,520;354,680;94,840;149;39;7,257;6,177;1,080;1;0;05/03/2021 12:00:00 AM;Agree;Agree
